"Name","WER","CER","Top1WER","Top1CER","Oracle20WER","Rows","Params","Path"
"A0 normal","2.6322","1.1219","","","",,"","outputs/flickr8k_decoder_prompt_large_v3_eval/A0_whisper_baseline/metrics.json"
"A1 10 normal","2.3633","0.9856","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A1_best_val/metrics.json"
"A1 20 normal","2.2782","0.9402","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A1_20ep_best_val/metrics.json"
"A2 10 normal","2.3771","0.9566","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A2_best_val/metrics.json"
"A2 20 normal","2.3012","0.9805","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A2_20ep_best_val/metrics.json"
"A3 10 normal","2.4575","1.0512","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A3_10ep_best_val/metrics.json"
"A3 20 normal","2.4483","1.0624","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A3_20ep_best_val/metrics.json"
"A4 10 normal","2.4093","1.0123","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A4_10ep_best_val/metrics.json"
"A5 10 normal","2.3725","0.9851","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A5_best_val/metrics.json"
"A5 20 normal","2.4897","1.1130","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A5_20ep_best_val/metrics.json"
"A6 normal","2.4897","1.2105","","","","4000","","outputs/flickr8k_decoder_prompt_large_v3_eval/A6_best_val/metrics.json"
"A7 A4 rerank","","","","","",,"","outputs/flickr8k_decoder_prompt_large_v3_eval/A7_from_A4_10_clip_rerank/metrics.json"
"A9 beam20 raw","2.0759","0.8329","2.1173","0.8437","0.6138","4000","a=0.5,b=0.01,c=1.0,d=0.0","outputs/flickr8k_a9_candidate_rerank_20260703/test_beam20_mbr_clip_grid/metrics.json"
"A9 beam30 raw","2.0782","0.8338","2.1127","0.8427","0.5885","4000","a=0.5,b=0.01,c=0.0,d=0.05","outputs/flickr8k_a9_candidate_rerank_20260703/test_beam30_mbr_clip_grid/metrics.json"
"A9 val beam20","2.1058","0.8413","2.1173","0.8437","0.6138","4000","a=0.5,b=0.02,c=1.0,d=0.01,extra={}","outputs/flickr8k_val_tuned_postprocess_20260705/A9_val_tuned_beam20/metrics.json"
"A9 val beam30","2.1564","0.9004","2.1127","0.8427","0.5885","4000","a=0.0,b=0.01,c=1.0,d=0.0,extra={}","outputs/flickr8k_val_tuned_postprocess_20260705/A9_val_tuned_beam30/metrics.json"
"FINAL rescore beam20","2.0713","0.8338","2.1173","0.8437","0.6138","4000","a=0.5,b=0.01,c=1.0,d=0.0,extra={""A0_logprob"":0.0,""A1_logprob"":0.5,""A2_logprob"":0.0,""A5_logprob"":0.05}","outputs/flickr8k_val_tuned_postprocess_20260705/rescore_beam20_val_tuned_extra_grid/metrics.json"
"rescore beam30","2.0736","0.8366","2.1127","0.8427","0.5885","4000","a=0.5,b=0.01,c=1.0,d=0.0,extra={""A0_logprob"":0.0,""A1_logprob"":0.5,""A2_logprob"":0.5,""A5_logprob"":0.0}","outputs/flickr8k_val_tuned_postprocess_20260705/rescore_beam30_val_tuned_extra_grid/metrics.json"
"A12 true","2.1035","0.8343","2.1173","0.8437","0.6138","4000","a=0.0,b=0.02,c=1.0,d=0.1,extra={""A0_logprob"":0.05,""A1_logprob"":0.1,""A2_logprob"":0.1,""A5_logprob"":0.05,""caption_sim"":0.0,""tag_overlap"":0.0,""visual_gain"":0.0}","outputs/flickr8k_a12_a13_semantics_20260706/A12_true_bootstrap_beam20/metrics.json"
"A12 shuffle","2.1035","0.8343","2.1173","0.8437","0.6138","4000","a=0.0,b=0.02,c=1.0,d=0.1,extra={""A0_logprob"":0.05,""A1_logprob"":0.1,""A2_logprob"":0.1,""A5_logprob"":0.05,""caption_sim"":0.0,""tag_overlap"":0.0,""visual_gain"":0.0}","outputs/flickr8k_a12_a13_semantics_20260706/A12_shuffle_bootstrap_beam20/metrics.json"
"A12 disable","2.1035","0.8343","2.1173","0.8437","0.6138","4000","a=0.0,b=0.02,c=1.0,d=0.1,extra={""A0_logprob"":0.05,""A1_logprob"":0.1,""A2_logprob"":0.1,""A5_logprob"":0.05,""caption_sim"":0.0,""tag_overlap"":0.0,""visual_gain"":0.0}","outputs/flickr8k_a12_a13_semantics_20260706/A12_disable_bootstrap_beam20/metrics.json"
"A13 true","","","","","","4000","","outputs/flickr8k_a12_a13_semantics_20260706/A13_true_semantic_conservative_beam20/metrics.json"
"B2 full","2.0805","0.8446","2.1173","0.8437","0.6069","4000","a=0.0,b=0.0,c=0.0,d=0.0,extra={""mbr_z"":0.2,""A1_logprob_z"":1.0,""A2_logprob_z"":0.1,""A0_logprob_z"":0.0,""A5_logprob_z"":0.0,""length_delta"":0.0}","outputs/flickr8k_b1_b2_union_normalized_20260708/B2_full_union_norm_grid/metrics.json"
